,Time Elapse,Buy,Sell,P&L
0,0,True,False,149.0
1,5,True,False,149.0
2,10,True,False,-2.0
3,15,True,False,160.0
4,20,True,False,0.0
5,25,True,False,0.0
6,30,True,False,0.0
7,35,True,False,82.0
8,40,True,False,-100.0
9,45,True,False,0.0
10,50,True,False,20.0
11,55,True,False,20.0
12,60,True,False,-12.0
13,65,True,False,-149.0
14,70,True,False,-196.0
15,75,True,False,-10.0
16,80,True,False,0.0
17,85,True,False,-8.0
18,90,True,False,-80.0
19,95,True,False,100.0
20,100,True,False,-287.0
21,105,True,False,-4.0
22,110,True,False,-287.0
23,115,True,False,-287.0
24,120,True,False,-282.0
25,125,True,False,-182.0
26,130,True,False,-180.0
27,135,True,False,-182.0
28,140,True,False,-80.0
29,145,True,False,-20.0
30,150,True,False,-20.0
31,155,True,False,-100.0
32,160,True,False,0.0
33,165,True,False,-82.0
34,170,True,False,-87.0
35,175,True,False,100.0
36,180,True,False,0.0
37,185,True,False,-82.0
38,190,True,False,0.0
39,195,True,False,-5.0
40,200,True,False,-94.0
41,205,True,False,-46.0
42,210,True,False,41.0
43,215,True,False,41.0
44,220,True,False,13.0
45,225,True,False,95.0
46,230,True,False,-778.0
47,235,True,False,-588.0
48,240,True,False,-496.0
49,245,True,False,-86.0
50,250,True,False,-82.0
51,255,True,False,18.0
52,260,True,False,108.0
53,265,True,False,-82.0
54,270,True,False,-82.0
55,275,True,False,90.0
56,280,True,False,8.0
57,285,True,False,90.0
58,290,True,False,-182.0
59,295,True,False,-80.0
60,300,True,False,0.0
61,305,True,False,82.0
62,310,True,False,82.0
63,315,True,False,82.0
64,320,True,False,0.0
65,325,True,False,0.0
66,330,True,False,0.0
67,335,True,False,-80.0
68,340,True,False,0.0
69,345,True,False,0.0
70,350,True,False,0.0
71,355,True,False,84.0
72,360,True,False,84.0
73,365,True,False,96.0
74,370,True,False,98.0
75,375,True,False,16.0
76,380,True,False,4.0
77,385,True,False,85.0
78,390,True,False,96.0
79,395,True,False,96.0
80,400,True,False,96.0
81,405,True,False,96.0
82,410,True,False,0.0
83,415,True,False,33.0
84,420,True,False,-166.0
85,425,True,False,90.0
86,430,True,False,90.0
87,435,True,False,90.0
88,440,True,False,10.0
89,445,True,False,8.0
90,450,True,False,8.0
91,455,True,False,0.0
92,460,True,False,82.0
93,465,True,False,82.0
94,470,True,False,86.0
95,475,True,False,82.0
96,480,True,False,2.0
97,485,True,False,82.0
98,490,True,False,18.0
99,495,True,False,98.0
100,500,True,False,16.0
101,505,True,False,5.0
102,510,True,False,-82.0
103,515,True,False,-16.0
104,520,True,False,-82.0
105,525,True,False,-82.0
106,530,True,False,-82.0
107,535,True,False,0.0
108,540,True,False,2.0
109,545,True,False,84.0
110,550,True,False,16.0
111,555,True,False,98.0
112,560,True,False,16.0
113,565,True,False,98.0
114,570,True,False,98.0
115,575,True,False,198.0
116,580,True,False,-8.0
117,585,True,False,-2.0
118,590,True,False,-150.0
119,595,True,False,-100.0
120,600,True,False,100.0
121,605,True,False,100.0
122,610,True,False,100.0
123,615,True,False,21.0
124,620,True,False,0.0
125,625,True,False,0.0
126,630,True,False,-82.0
127,635,True,False,-82.0
128,640,True,False,58.0
129,645,True,False,-97.0
130,650,True,False,0.0
131,655,True,False,-82.0
132,660,True,False,-32.0
133,665,True,False,-50.0
134,670,True,False,-50.0
135,675,True,False,-1392.0
136,680,True,False,-836.0
137,685,True,False,-722.0
138,690,True,False,-22.0
139,695,True,False,-500.0
140,700,True,False,-100.0
141,705,True,False,8.0
142,710,True,False,-100.0
143,715,True,False,90.0
144,720,True,False,44.0
145,725,True,False,0.0
146,730,True,False,90.0
147,735,True,False,40.0
148,740,True,False,40.0
149,745,True,False,58.0
150,750,True,False,90.0
151,755,True,False,90.0
